COD_CLIENTE,NATURA_GIURIDICA,PV,CODICE_ISTAT,FIDO_PAYLINE,DECISIONE,VALUTAZIONE_TEMPI_PAG,GG_PATTUITI,GG_RITARDO,FATTURATO,FATTURATO_MESE,CLASSE_RISCHIO,CLASSE_RISCHIO_DESCR
42,S.r.l.,PC,6201/07,37800.0,Accordabile,Regolari,21.0,0.0,"781,96","159,47",4,Affidabile
43,Indiv.,PC,960201/07,2333.0,Accordabile,Regolari,23.0,25.0,"1497,4","91,71",4,Affidabile
44,S.a.s.,PC,563/07,3431.0,Accordabile,Prevalentemente regolari,23.0,22.0,"7024,24","773,58",4,Affidabile
45,S.a.s.,AL,93293/07,1500.0,Accordabile,,21.0,2579.0,"396,51",0,4,Affidabile
46,Indiv.,PC,86902/07,0.0,Non accordabile,Regolari,21.0,0.0,"910,53","133,53",6,Non operativa
47,S.r.l.,PC,2562/07,19800.0,Accordabile,Regolari,21.0,0.0,"30470,87","10209,52",4,Affidabile
48,,PC,,5000.0,Accordabile,Regolari,21.0,0.0,"567,47","112,42",4,Affidabile
49,S.n.c.,PC,563/07,24750.0,Accordabile,Regolari,23.0,0.0,"11083,4","1350,7",4,Affidabile
50,Semplice,PC,01111/07,3625.0,Accordabile,Regolari,23.0,2558.0,"1650,43",0,4,Affidabile
51,S.r.l.,MI,682001/07,292500.0,Accordabile,Regolari,21.0,5.0,"5252,21","608,57",4,Affidabile
52,Indiv.,PC,561011/07,0.0,Non accordabile,,22.0,1522.0,"1205,64",0,6,Non operativa
53,Indiv.,PC,01114/07,2905.0,Accordabile,Dilazionati,21.0,70.0,"2128,53","530,59",4,Affidabile
54,S.r.l.,PC,1812/07,3625.0,Accordabile,,20.0,2619.0,123,0,4,Affidabile
55,S.r.l.,PC,32999/07,104000.0,Accordabile,Regolari,21.0,0.0,"9109,51","2717,3",4,Affidabile
56,S.a.s.,PC,6831/07,3660.0,Accordabile,Regolari,22.0,0.0,"1387,71","160,99",4,Affidabile
57,S.r.l.,PC,47911/07,1500.0,Accordabile,Regolari,21.0,0.0,"1438,12","295,08",4,Affidabile
58,Indiv.,PR,015/07,4150.0,Accordabile,Regolari,21.0,0.0,"2371,29","329,81",4,Affidabile
59,S.r.l.,PR,46732/07,0.0,Non accordabile,,27.0,2433.0,"1151,14",0,6,Non operativa
60,Indiv.,PR,56103/07,3950.0,Accordabile,Prevalentemente regolari,20.0,8.0,"508,99","75,93",4,Affidabile
61,S.a.s.,PR,47192/07,6041.0,Accordabile,Regolari,22.0,20.0,"6915,37","844,1",4,Affidabile
62,Indiv.,PR,563/07,3400.0,Accordabile,Regolari,23.0,0.0,"6663,94","762,7",4,Affidabile
63,S.r.l.u.s.,PR,4941/07,0.0,Non accordabile,,21.0,2254.0,"376,01",0,6,Non operativa
64,S.p.A.,MI,292/07,6555.0,Accordabile,Regolari,21.0,27.0,"11555,21","4483,64",4,Affidabile
65,S.n.c.,PR,2813/07,32000.0,Accordabile,Regolari,21.0,0.0,"4157,71","701,62",4,Affidabile
66,S.n.c.,PR,561011/07,8100.0,Accordabile,Regolari,22.0,0.0,"10339,09","1469,14",4,Affidabile
67,S.r.l.,PR,10512/07,27900.0,Accordabile,Regolari,22.0,0.0,"119327,45","18991,04",4,Affidabile
68,S.r.l.,PR,265129/07,0.0,Non accordabile,,26.0,2474.0,"9981,78",0,6,Non operativa
69,S.r.l.,PR,551/07,2400.0,Da ridurre,Prevalentemente regolari,22.0,21.0,"36332,56","5595,85",4,Affidabile
70,Indiv.,PR,563/07,3000.0,Accordabile,Regolari,23.0,0.0,"3577,53","293,54",4,Affidabile
71,,PR,,6000.0,Accordabile,Regolari,23.0,0.0,"2209,66","173,47",4,Affidabile
72,Indiv.,PR,015/07,0.0,Non accordabile,,22.0,2583.0,"1243,99",0,6,Non operativa
73,S.r.l.,PR,561011/07,0.0,Non accordabile,,21.0,1887.0,"7061,77",0,6,Non operativa
74,S.r.l.,PR,477899/07,4980.0,Accordabile,Regolari,21.0,0.0,"3429,06","446,16",4,Affidabile
75,S.r.l.,PR,10512/07,11700.0,Accordabile,Regolari,28.0,0.0,"12669,91","1562,8",4,Affidabile
76,Indiv.,PR,561011/07,10000.0,Accordabile,Regolari,21.0,0.0,"6061,7","791,1",4,Affidabile
77,S.r.l.u.s.,PR,1013/07,373905.0,Accordabile,Regolari,27.0,0.0,"432810,91","54907,2",4,Affidabile
78,S.r.l.,PC,467322/07,193200.0,Accordabile,Regolari,21.0,0.0,"5486,39","872,47",4,Affidabile
79,Indiv.,PC,96012/07,5000.0,Accordabile,,-1.0,-1.0,"213,9",0,4,Affidabile
80,,PC,,6000.0,Accordabile,Regolari,21.0,0.0,"1108,25","314,33",4,Affidabile
81,S.r.l.,PC,2312/07,61500.0,Accordabile,Regolari,23.0,0.0,"41528,3","4337,6",4,Affidabile
82,,PC,,6000.0,Accordabile,Regolari,22.0,0.0,"8482,97","864,53",4,Affidabile
83,Indiv.,PC,56103/07,0.0,Non accordabile,Prevalentemente regolari,22.0,10.0,"15399,58","618,98",6,Non operativa
84,Indiv.,LO,960202/07,0.0,Non accordabile,,22.0,2529.0,"403,45",0,6,Non operativa
85,Indiv.,PC,2562/07,14250.0,Accordabile,Regolari,21.0,0.0,"10657,34","2004,11",4,Affidabile
86,S.p.a.u.s.,PC,2814/07,342500.0,Accordabile,Regolari,35.0,0.0,"201395,49","25012,83",4,Affidabile
87,S.r.l.,FI,291/07,30001.0,Accordabile,Regolari,21.0,0.0,"23784,09","4153,05",4,Affidabile
88,S.r.l.,LO,255/07,16200.0,Accordabile,Regolari,21.0,0.0,"10860,79","1841,6",4,Affidabile
89,S.r.l.,PC,222/07,40000.0,Accordabile,Regolari,21.0,0.0,"1342,42","225,12",4,Affidabile
90,S.a.s.,PV,,0.0,Non accordabile,,23.0,1449.0,"24167,77",0,6,Non operativa
91,S.n.c.,PC,47592/07,17100.0,Accordabile,Regolari,22.0,0.0,"6392,64","716,13",4,Affidabile
92,S.r.l.,PC,01114/07,5100.0,Accordabile,Regolari,22.0,0.0,"2996,48","156,52",4,Affidabile
93,S.n.c.,PR,10711/07,17000.0,Accordabile,Regolari,23.0,3.0,"30305,9","3604,55",4,Affidabile
94,S.r.l.,PC,1812/07,17250.0,Accordabile,Regolari,26.0,0.0,"104198,6","15670,09",4,Affidabile
95,S.r.l.,PR,551/07,1500.0,Da ridurre,Regolari,23.0,0.0,"29292,03","6947,24",4,Affidabile
96,S.r.l.,PC,257311/07,34200.0,Accordabile,Regolari,21.0,0.0,"4421,68","1322,02",4,Affidabile
97,Indiv.,PC,478202/07,0.0,Non accordabile,Regolari,23.0,0.0,"702,93","50,92",6,Non operativa
98,S.r.l.,PC,433202/07,12000.0,Accordabile,Regolari,23.0,0.0,"3801,68","486,15",4,Affidabile
99,S.r.l.,PC,2561/07,0.0,Non accordabile,Prevalentemente regolari,20.0,184.0,"2428,65",0,1,Non affidabile
100,Indiv.,PC,563/07,3240.0,Accordabile,Regolari,22.0,0.0,"4484,89","408,76",4,Affidabile
101,Indiv.,PC,960202/07,3000.0,Accordabile,Regolari,22.0,0.0,"1215,72","151,36",4,Affidabile
102,Semplice,PC,01114/07,7000.0,Accordabile,Dilazionati,-1.0,-1.0,"696,56",0,4,Affidabile
103,,PC,,2500.0,Accordabile,Dilazionati,23.0,346.0,"2196,88","116,96",4,Affidabile
104,S.a.s.,PC,563/07,1800.0,Accordabile,Dilazionati,23.0,66.0,"3807,6","330,58",4,Affidabile
105,Indiv.,PC,960201/07,3000.0,Accordabile,Regolari,22.0,0.0,"1502,37","176,28",4,Affidabile
106,Indiv.,PC,56291/07,0.0,Non accordabile,Ritardi,26.0,396.0,"566,96",0,1,Non affidabile
107,Indiv.,PC,4322/07,4500.0,Accordabile,Regolari,22.0,0.0,"2451,67","372,21",4,Affidabile
108,S.n.c.,PC,,0.0,Non accordabile,,22.0,1065.0,"827,65",0,6,Non operativa
109,Indiv.,PC,10711/07,3420.0,Accordabile,Regolari,22.0,-1.0,"9054,49","902,37",4,Affidabile
110,S.n.c.,PC,472101/07,59400.0,Accordabile,Regolari,23.0,0.0,"6536,39","253,24",4,Affidabile
111,S.n.c.,PC,47591/07,6000.0,Accordabile,Prevalentemente regolari,23.0,-1.0,"1291,36","115,56",4,Affidabile
112,Indiv.,PR,960201/07,2500.0,Accordabile,Regolari,0.0,0.0,"2585,76",0,4,Affidabile
113,Indiv.,PC,,0.0,Non accordabile,Regolari,21.0,0.0,"1534,84","67,96",6,Non operativa
114,Indiv.,PC,10711/07,3180.0,Accordabile,Regolari,21.0,0.0,"4914,59","483,56",4,Affidabile
115,S.n.c.,PC,10711/07,17100.0,Accordabile,Regolari,22.0,0.0,"17311,39","2362,02",4,Affidabile
116,S.a.s.,PC,4724/07,2500.0,Accordabile,Prevalentemente regolari,22.0,0.0,"8730,92","737,45",4,Affidabile
117,Indiv.,PR,96012/07,3000.0,Accordabile,Regolari,23.0,0.0,"2514,82","254,71",4,Affidabile
118,S.r.l.u.s.,PC,7312/07,0.0,Da approfondire,Regolari,23.0,0.0,"4293,33","451,22",4,Affidabile
119,Indiv.,PC,960201/07,3000.0,Accordabile,Regolari,22.0,0.0,"1735,29","235,93",4,Affidabile
120,Indiv.,PC,4771/07,0.0,Non accordabile,Regolari,23.0,0.0,"400,99","26,38",6,Non operativa
121,Indiv.,PC,472101/07,4200.0,Accordabile,Regolari,23.0,1.0,"1308,33","79,06",4,Affidabile
122,Indiv.,PC,4726/07,3000.0,Accordabile,Regolari,22.0,0.0,"3353,71","289,92",4,Affidabile
123,Indiv.,PC,4781/07,7200.0,Accordabile,,-1.0,-1.0,"184,26",0,4,Affidabile
124,S.a.s.,PR,551/07,9750.0,Accordabile,Regolari,22.0,14.0,"13732,94","2092,16",4,Affidabile
125,Indiv.,PC,47511/07,0.0,Non accordabile,Prevalentemente regolari,23.0,34.0,"2147,39","138,3",2,Cautela
126,Indiv.,PR,47242/07,3000.0,Accordabile,Regolari,23.0,0.0,"3243,01","448,76",4,Affidabile
127,S.n.c.,PR,563/07,15000.0,Accordabile,Regolari,23.0,0.0,"10722,54","1491,58",4,Affidabile
128,Indiv.,PC,47712/07,5700.0,Accordabile,Regolari,23.0,0.0,"1359,42","177,83",4,Affidabile
129,Indiv.,PC,478909/07,3000.0,Accordabile,Regolari,23.0,0.0,"1976,48","132,76",4,Affidabile
130,Indiv.,PC,32502/07,2500.0,Accordabile,Regolari,22.0,0.0,"828,62","54,58",4,Affidabile
131,Indiv.,PC,46742/07,7100.0,Accordabile,Regolari,-1.0,-1.0,"128,64",0,4,Affidabile
132,S.n.c.,PC,563/07,6000.0,Accordabile,Regolari,23.0,0.0,"10122,67","865,5",4,Affidabile
133,Indiv.,PC,4726/07,5460.0,Accordabile,Regolari,23.0,1.0,"3997,09","247,99",4,Affidabile
134,Coop.,PC,8121/07,4250.0,Accordabile,,23.0,0.0,"348,53","113,37",4,Affidabile
135,S.n.c.,PC,2562/07,69600.0,Accordabile,Regolari,23.0,0.0,"14670,99","1326,4",4,Affidabile
136,S.n.c.,PC,563/07,6900.0,Accordabile,Regolari,23.0,0.0,"5635,59","830,84",4,Affidabile
137,S.n.c.,PC,561011/07,8250.0,Accordabile,Regolari,23.0,0.0,"15693,97","2017,95",4,Affidabile
138,Indiv.,PC,477836/07,10000.0,Accordabile,Regolari,23.0,2.0,"11217,53","988,19",4,Affidabile
139,S.n.c.,PC,563/07,13800.0,Accordabile,Regolari,-1.0,-1.0,"1112,58",0,4,Affidabile
140,Indiv.,PC,,0.0,Non accordabile,Dilazionati,21.0,242.0,"691,69",0,6,Non operativa
141,,PC,,6000.0,Accordabile,Regolari,22.0,0.0,"827,68","57,22",4,Affidabile
142,S.n.c.,PC,561011/07,2500.0,Accordabile,Regolari,23.0,0.0,"4756,38","538,16",4,Affidabile
143,Indiv.,PR,56102/07,2500.0,Accordabile,Regolari,23.0,4.0,"5753,89","866,01",4,Affidabile
144,Indiv.,PC,6831/07,3000.0,Accordabile,Regolari,22.0,0.0,"1290,35","104,69",4,Affidabile
145,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"1528,02",0,4,Affidabile
146,Indiv.,PC,472101/07,5040.0,Accordabile,Regolari,23.0,0.0,"1706,38","73,58",4,Affidabile
147,Semplice,MN,0141/07,8000.0,Accordabile,Regolari,23.0,0.0,"8340,35","475,86",4,Affidabile
148,S.n.c.,PC,2562/07,3000.0,Accordabile,Regolari,22.0,0.0,"13188,5","1586,57",4,Affidabile
149,Indiv.,PC,561011/07,3000.0,Accordabile,Regolari,22.0,0.0,"4187,89","448,17",4,Affidabile
150,S.a.s.,PC,561011/07,31200.0,Accordabile,Regolari,21.0,0.0,"3619,93","753,09",4,Affidabile
151,S.n.c.,PC,47114/07,6750.0,Accordabile,Regolari,23.0,-4.0,"3530,69","213,96",4,Affidabile
152,Indiv.,PC,742019/07,3120.0,Accordabile,Regolari,22.0,0.0,"2305,39","305,13",4,Affidabile
153,Indiv.,PC,563/07,1800.0,Accordabile,Dilazionati,22.0,66.0,"6332,63","640,38",4,Affidabile
154,Indiv.,PC,47592/07,3000.0,Accordabile,Regolari,23.0,0.0,"4595,76","287,86",4,Affidabile
155,Indiv.,PC,563/07,4200.0,Accordabile,Regolari,22.0,0.0,"10217,81","743,27",4,Affidabile
156,Indiv.,PC,563/07,2316.0,Accordabile,Dilazionati,23.0,26.0,"8088,43","764,11",4,Affidabile
157,Indiv.,PC,47721/07,3900.0,Accordabile,Regolari,23.0,0.0,"2015,29","146,29",4,Affidabile
158,S.n.c.,PC,467322/07,6486.0,Accordabile,Dilazionati,22.0,26.0,"9483,26","1303,99",4,Affidabile
159,Indiv.,PC,563/07,3000.0,Accordabile,Regolari,22.0,0.0,"5600,53","480,53",4,Affidabile
160,S.a.s.,PC,563/07,5000.0,Accordabile,Regolari,-1.0,-1.0,"62,83",0,4,Affidabile
161,,PC,,6000.0,Accordabile,Regolari,24.0,0.0,"6699,03","56,75",4,Affidabile
162,,PC,,0.0,Non accordabile,Ritardi,22.0,77.0,"9757,07","1814,15",2,Cautela
163,S.a.s.,PC,561011/07,10926.0,Accordabile,Regolari,23.0,16.0,"24011,68","3831,21",4,Affidabile
164,Indiv.,PC,47621/07,7200.0,Accordabile,Regolari,22.0,7.0,"3781,35","238,63",4,Affidabile
165,Indiv.,PC,4722/07,0.0,Non accordabile,Regolari,23.0,0.0,"372,33","22,97",6,Non operativa
166,Indiv.,PC,4777/07,8400.0,Accordabile,Regolari,22.0,0.0,"2204,75","207,33",4,Affidabile
167,,PC,,5000.0,Accordabile,Regolari,22.0,0.0,"37911,24","4110,92",4,Affidabile
168,Indiv.,PC,47713/07,3360.0,Accordabile,Regolari,23.0,0.0,"729,53","57,27",4,Affidabile
169,,PR,,5000.0,Accordabile,Regolari,25.0,0.0,"462,2",0,4,Affidabile
170,Indiv.,PC,4761/07,0.0,Non accordabile,Prevalentemente regolari,24.0,0.0,"1053,16","18,7",6,Non operativa
171,Indiv.,PR,960201/07,3000.0,Accordabile,Regolari,23.0,0.0,"939,49","42,32",4,Affidabile
172,Semplice,PC,01131/07,2500.0,Accordabile,Prevalentemente regolari,22.0,0.0,"13762,98","110,92",4,Affidabile
173,Semplice,PC,01131/07,2500.0,Accordabile,Prevalentemente regolari,22.0,0.0,"60813,3","875,15",4,Affidabile
174,Indiv.,PR,473/07,13672.0,Accordabile,Regolari,23.0,0.0,"12842,4","1631,43",4,Affidabile
175,,PR,,6000.0,Accordabile,Regolari,21.0,0.0,"350,81","24,44",4,Affidabile
176,,PC,,6000.0,Accordabile,Regolari,23.0,0.0,"2984,75","242,08",4,Affidabile
177,,PC,,6000.0,Accordabile,Regolari,21.0,0.0,"6446,16","1446,84",4,Affidabile
178,S.r.l.,PR,47114/07,0.0,Non accordabile,Regolari,23.0,0.0,"38240,28","2495,3",6,Non operativa
179,Indiv.,PC,4722/07,2500.0,Accordabile,Prevalentemente regolari,23.0,0.0,"10247,36","1267,97",4,Affidabile
180,,PC,,,Da approfondire,Regolari,22.0,82.0,"47689,04","5307,55",4,Affidabile
181,S.r.l.,PR,563/07,1500.0,Accordabile,Regolari,23.0,3.0,"9140,56","1241,48",4,Affidabile
182,Indiv.,PC,563/07,3000.0,Accordabile,Regolari,22.0,0.0,"3908,88","323,46",4,Affidabile
183,Indiv.,PC,960201/07,2500.0,Accordabile,Regolari,22.0,0.0,"956,02","104,08",4,Affidabile
184,S.a.s.,PC,432101/07,4000.0,Accordabile,Regolari,23.0,0.0,"782,91","51,97",4,Affidabile
185,S.a.s.,PC,473/07,64942.0,Accordabile,Regolari,23.0,0.0,"10189,22","2388,78",4,Affidabile
186,S.n.c.,PC,47114/07,7250.0,Accordabile,Regolari,22.0,0.0,"4451,41","266,82",4,Affidabile
187,S.n.c.,PC,47782/07,2500.0,Accordabile,Regolari,22.0,1.0,"2428,75","221,89",4,Affidabile
188,,PC,,6000.0,Accordabile,Regolari,25.0,0.0,"874,83",0,4,Affidabile
189,S.r.l.u.s.,PC,161/07,14750.0,Accordabile,Regolari,23.0,0.0,"13483,04","1822,06",4,Affidabile
190,S.n.c.,PC,563/07,9600.0,Accordabile,Regolari,22.0,0.0,"8072,16","1035,34",4,Affidabile
191,,PC,,6000.0,Accordabile,Regolari,23.0,0.0,"505,74","32,83",4,Affidabile
192,Indiv.,PC,31095/07,3000.0,Accordabile,Regolari,23.0,0.0,"1976,34","135,59",4,Affidabile
193,Ente,PR,552051/07,2500.0,Da ridurre,Regolari,22.0,9.0,"50881,08","6205,88",4,Affidabile
194,Indiv.,PC,551/07,23400.0,Accordabile,Regolari,-1.0,-1.0,"2140,31",0,4,Affidabile
195,S.r.l.,PR,2221/07,9300.0,Accordabile,Regolari,23.0,0.0,"1210,86","141,08",4,Affidabile
196,S.r.l.,PC,46771/07,38000.0,Accordabile,Regolari,23.0,0.0,"44649,52","6367,23",4,Affidabile
197,Indiv.,PC,3109/07,3000.0,Accordabile,Regolari,23.0,0.0,"1180,97","66,26",4,Affidabile
198,S.r.l.,PC,461709/07,38400.0,Accordabile,Regolari,22.0,0.0,"4568,49","596,63",4,Affidabile
199,S.n.c.,PC,563/07,10800.0,Accordabile,Regolari,23.0,0.0,"8138,39","1318,21",4,Affidabile
200,Indiv.,PC,960201/07,3000.0,Accordabile,Regolari,22.0,0.0,"2433,79","239,05",4,Affidabile
201,S.n.c.,PR,10711/07,11700.0,Accordabile,Regolari,23.0,0.0,"18087,35","1927,52",4,Affidabile
202,Indiv.,PC,10711/07,3120.0,Accordabile,Regolari,22.0,0.0,"2927,56","265,2",4,Affidabile
203,S.a.s.,PC,563/07,1500.0,Accordabile,Regolari,27.0,1080.0,"363,91",0,4,Affidabile
204,S.n.c.,PC,451101/07,5333.0,Accordabile,Regolari,21.0,0.0,"262,68","29,86",4,Affidabile
205,Indiv.,PR,4777/07,11400.0,Accordabile,Regolari,23.0,0.0,"1186,34","128,65",4,Affidabile
206,Semplice,PR,0141/07,41400.0,Accordabile,Regolari,23.0,0.0,"24036,75","3304,05",4,Affidabile
207,Indiv.,PC,0121/07,4980.0,Accordabile,Regolari,23.0,0.0,"1869,7","112,66",4,Affidabile
208,Indiv.,PC,47714/07,3840.0,Accordabile,Regolari,22.0,0.0,"1059,37","91,06",4,Affidabile
209,Indiv.,PC,960201/07,2125.0,Accordabile,Prevalentemente regolari,22.0,40.0,"1793,21","215,39",4,Affidabile
210,S.r.l.u.s.,PR,10512/07,30600.0,Accordabile,Regolari,23.0,0.0,"33285,52","3217,46",4,Affidabile
211,S.a.s.,PC,47591/07,20400.0,Accordabile,Regolari,23.0,0.0,"3139,82",353,4,Affidabile
212,Indiv.,PC,960201/07,2500.0,Accordabile,Regolari,23.0,-1.0,"724,18","45,82",4,Affidabile
213,Indiv.,PR,47782/07,0.0,Non accordabile,Regolari,26.0,69.0,"2326,38","336,95",6,Non operativa
213,Indiv.,PR,47782/07,0.0,Non accordabile,Regolari,26.0,69.0,"2326,38","336,95",6,Non operativa
214,Indiv.,PR,47114/07,3000.0,Accordabile,Regolari,23.0,0.0,"1695,06","100,49",4,Affidabile
215,S.r.l.,LO,282202/07,0.0,Non accordabile,Ritardi significativi,24.0,1027.0,"5254,05",0,6,Non operativa
216,Indiv.,PC,4722/07,0.0,Non accordabile,Ritardi,23.0,23.0,"4583,04","483,13",2,Cautela
217,S.n.c.,PC,473/07,106642.0,Accordabile,Regolari,23.0,0.0,"15684,07","1825,06",4,Affidabile
218,S.a.s.,PC,,3750.0,Da ridurre,,28.0,2175.0,"6832,49",0,4,Affidabile
219,Indiv.,PR,45204/07,0.0,Non accordabile,,20.0,2570.0,"380,32",0,6,Non operativa
220,S.n.c.,PC,,0.0,Non accordabile,,-1.0,-1.0,"1580,16",0,6,Non operativa
221,,PC,,5000.0,Accordabile,Prevalentemente regolari,21.0,12.0,"14789,88","637,43",4,Affidabile
222,Indiv.,TO,461302/07,1500.0,Accordabile,,21.0,2201.0,"1036,44",0,4,Affidabile
223,Coop.,MI,96012/07,15600.0,Accordabile,Regolari,22.0,0.0,"10983,65","772,1",4,Affidabile
224,S.a.s.,PC,561011/07,2200.0,Da ridurre,Dilazionati,22.0,34.0,"16505,98","1916,07",4,Affidabile
225,Indiv.,PC,563/07,2500.0,Accordabile,,27.0,0.0,"110,48",0,4,Affidabile
226,Indiv.,PC,96012/07,2483.0,Accordabile,Regolari,23.0,16.0,"6735,84","690,18",4,Affidabile
227,Indiv.,PC,47622/07,3000.0,Accordabile,Regolari,23.0,0.0,"2028,41","198,31",4,Affidabile
228,S.r.l.,PR,16231/07,23100.0,Accordabile,Regolari,23.0,0.0,"7398,59","939,16",4,Affidabile
229,S.r.l.,PR,28293/07,11750.0,Accordabile,Regolari,24.0,0.0,"17490,54","2457,21",4,Affidabile
230,S.r.l.,PR,561011/07,0.0,Non accordabile,Regolari,25.0,2.0,"38520,75","7463,86",2,Cautela
231,,PC,,,No negativita,Regolari,23.0,0.0,"1345,54","99,77",3,No negativita'
232,S.n.c.,PR,1073/07,9300.0,Accordabile,Regolari,22.0,0.0,"4070,28","304,82",4,Affidabile
233,S.a.s.,PR,551/07,26400.0,Accordabile,Regolari,22.0,0.0,"49503,62","6287,29",4,Affidabile
234,S.n.c.,PR,13921/07,3000.0,Accordabile,Regolari,22.0,0.0,"2571,46","340,73",4,Affidabile
235,Semplice,PR,01114/07,31800.0,Accordabile,Regolari,22.0,0.0,"8804,92","1284,86",4,Affidabile
236,S.a.s.,PC,4771/07,19800.0,Accordabile,Regolari,-1.0,-1.0,"114,74",0,4,Affidabile
237,Indiv.,PC,4726/07,3000.0,Accordabile,Regolari,23.0,0.0,"7278,06","939,41",4,Affidabile
238,Indiv.,PC,28299/07,0.0,Non accordabile,Regolari,22.0,0.0,"1052,62",0,6,Non operativa
239,S.a.s.,PC,47592/07,15000.0,Accordabile,Regolari,22.0,0.0,"3079,62","300,28",4,Affidabile
